description,recommendationSource,recommendationImpact,recommendationResourceType,remediationAction,recommendationControl,acorlGuid,recommendationTypeId,recommendationMetadataState,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceFile,SourceType,ResourceGroupName,RecommendationDate,RecommendationTypeId,RecommendationSolution,RecommendationProvider,RecommendationId,ResourceCategory,RecommendationControl,RecommendationMaturityLevel,RecommendationCategory,RecommendationDescription,RecommendationImpact,ResourceType,RecommendationDetails
Enable application autoscaling,Manual,Medium,Microsoft.ContainerService/managedClusters,"Improve efficiency by enabling Vertical Pod Autoscaler (VPA) to adjust CPU and memory requests based on usage and Horizontal Pod Autoscaler (HPA) to scale pod replicas based on demand. Avoid using both for the same metrics to prevent conflicts. For event-driven workloads, use Kubernetes Event-driven Autoscaler (KEDA) to scale based on triggers like HTTP traffic or message queue length.  
",UsageOptimization/OptimizeResources,8e3b5526-652d-4390-b89f-386f38e26044,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Vertical pod autoscaling', 'url': 'https://learn.microsoft.com/en-us/azure/aks/vertical-pod-autoscaler'}, {'name': 'Horizontal pod autoscaler', 'url': 'https://learn.microsoft.com/en-us/azure/aks/concepts-scale#horizontal-pod-autoscaler'}, {'name': 'Simplified application autoscaling with Kubernetes Event-driven Autoscaling (KEDA) add-on', 'url': 'https://learn.microsoft.com/en-us/azure/aks/keda-about'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Enable infrastructure autoscaling,Manual,Medium,Microsoft.ContainerService/managedClusters,"Use Cluster Autoscaler to automatically adjust node count based on workload demand, scaling up when resources are needed and down when nodes are idle. Enable Node Autoprovisioning (NAP) to simplify VM SKU selection, optimizing node pools for cost and performance without manual configuration.
",UsageOptimization/OptimizeResources,7a91559e-1baf-4ebd-a4a0-51ddd0242631,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Cluster autoscaler', 'url': 'https://learn.microsoft.com/en-us/azure/aks/cluster-autoscaler-overview'}, {'name': 'Node autoprovisioning', 'url': 'https://learn.microsoft.com/en-us/azure/aks/node-autoprovision'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Optimize AKS Control Plane Logging,Manual,Medium,Microsoft.ContainerService/managedClusters,"Enable diagnostic settings in Azure Monitor, but disable kube-audit when not required. Use kube-audit-admin for fewer events and configure AKSAudit logs as basic logs to reduce costs.
",UsageOptimization/OptimizeResources,17f0aa27-e655-4b45-b6ea-11eb662b654d,,Active,Optimize existing resources,False,False,False,,"[{'name': 'AKS control plane/resource logs', 'url': 'https://learn.microsoft.com/en-us/azure/aks/monitor-aks#aks-control-planeresource-logs'}, {'name': 'Collect control plane logs for AKS clusters', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/containers/monitor-kubernetes#collect-control-plane-logs-for-aks-clusters'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Optimize AKS Data Plane Logging,Manual,Medium,Microsoft.ContainerService/managedClusters,"Use Container Insights to monitor and troubleshoot AKS workloads while optimizing costs. Customize data collection settings via Azure Monitor Data Collection Rules (DCR) to control log ingestion. Enable only necessary tables, adjust collection intervals, and exclude unneeded namespaces. For metrics, use Azure Monitor managed Prometheus and Azure Managed Grafana for visualization instead of collecting all logs.
",UsageOptimization/OptimizeResources,16b8a453-dd44-4856-a929-7e2c47d39c45,,Active,Optimize existing resources,False,False,False,,"[{'name': 'AKS data plane/Container Insights logs', 'url': 'https://learn.microsoft.com/en-us/azure/aks/monitor-aks#aks-control-planeresource-logs'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Choose the appropriate storage type,Manual,Medium,Microsoft.ContainerService/managedClusters,"Understand the needs of your application to pick the right storage. Use high performance, SSD-backed storage for production workloads. Plan for network-based storage when you need multiple concurrent connections.
",UsageOptimization/OptimizeResources,845d0c24-a085-4aee-a29c-7e9ae6b469b0,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Choose the appropriate storage type', 'url': 'https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage#choose-the-appropriate-storage-type'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Size the nodes for storage needs,Manual,Medium,Microsoft.ContainerService/managedClusters,"Each node size supports a maximum number of disks. Different node sizes also provide different amounts of local storage and network bandwidth. Plan appropriately for your application demands to deploy the right size of nodes.  potentialBenefits: Optimize existing resources
",UsageOptimization/OptimizeResources,a4d40407-1b36-4c0c-b2f5-76c06f9e4951,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Size the nodes for storage needs', 'url': 'https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage#size-the-nodes-for-storage-needs'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Dynamically provision volumes,Manual,Medium,Microsoft.ContainerService/managedClusters,"To reduce management overhead and enable scaling, avoid statically create and assign persistent volumes. Use dynamic provisioning. In your storage classes, define the appropriate reclaim policy to minimize unneeded storage costs once pods are deleted.
",UsageOptimization/OptimizeResources,23641583-a8c7-4a5b-aef5-34e9e2e7e7a4,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Dynamically provision volumes', 'url': 'https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-storage#dynamically-provision-volumes'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Filter at the Source,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Use Data Collection Rules (DCRs) to capture only essential logs and metrics before ingestion. This helps cut costs by stopping unnecessary data from even entering Azure Monitor.
",UsageOptimization/OptimizeResources,9e3f8992-d14c-4e27-b729-41af52a9314f,,Active,Optimize cost,False,False,False,,"[{'name': 'Data collection rules (DCRs) in Azure Monitor', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/data-collection-rule-overview'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Optimize Log Diagnostic Settings,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Configure Azure Monitor Diagnostic Settings to collect only critical logs and send them where they're actually useful, like Log Analytics, Event Hubs, or Storage Accounts—instead of just dumping everything in one place.
",UsageOptimization/OptimizeResources,1f778b08-747a-4ba7-bc7e-1ae17629b2cd,,Active,Optimize cost,False,False,False,,"[{'name': 'Diagnostic settings in Azure Monitor', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/diagnostic-settings'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Adjust Collection Frequency,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Modify performance counter sampling rates to balance detail with cost. Instead of collecting data every few seconds, set reasonable intervals in VM Insights and Container Insights to avoid excessive ingestion costs.
",UsageOptimization/OptimizeResources,8525badd-41a9-457d-83c6-a14930e30e2a,,Active,Optimize cost,False,False,False,,"[{'name': 'Azure Monitor best practices: Configure data collection', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/best-practices-data-collection'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Leverage VM Insights Wisely,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Enable only the performance metrics you actually need. If availability is your main concern, rely on Log Analytics Agent Heartbeat Logs instead of collecting redundant telemetry data.
",UsageOptimization/OptimizeResources,067613a2-e98b-43f6-be3c-55c157fb188a,,Active,Optimize cost,False,False,False,,"[{'name': 'VM Insights Overview', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/vm/vminsights-overview'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Azure Policies for Automation,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Implement Azure Policy definitions to enforce cost-efficient monitoring settings across your subscriptions, making sure unnecessary logs aren't collected in the first place.
",UsageOptimization/OptimizeResources,0111448b-8e0c-46a1-b4df-84289f5de528,,Active,Optimize cost,False,False,False,,"[{'name': 'Azure Policy built-in definitions for Azure Automation', 'url': 'https://learn.microsoft.com/en-us/azure/automation/policy-reference'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Enable Basic Logs for High-Volume Data,Manual,Low,Microsoft.OperationalInsights/Workspaces,"For logs that don't need real-time access, like Activity Logs and Audit Logs, switch them to Basic Logs instead of paying for full ingestion and indexing.
",UsageOptimization/OptimizeResources,43f13045-f11f-4330-8bdd-5843aaac777e,,Active,Optimize cost,False,False,False,,"[{'name': 'Tables that support the Basic table plan in Azure Monitor Logs', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/logs/basic-logs-azure-tables'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Set Appropriate Retention Periods,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Configure Azure Log Analytics Workspace retention policies to match your compliance needs. Keep active logs for a practical period (e.g., 30-90 days) and move older ones to cheaper storage.
",UsageOptimization/OptimizeResources,6908fe33-29b1-4c1c-a26c-d88fa16a03bb,,Active,Optimize cost,False,False,False,,"[{'name': 'Configure Data Retention', 'url': 'https://learn.microsoft.com/en-us/troubleshoot/azure/azure-monitor/log-analytics/billing/configure-data-retention'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Automate Data Purging,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Set up Log Analytics Workspace Data Purging Policies to automatically delete old, non-essential logs once they've passed their usefulness, preventing unnecessary storage costs from piling up.
",UsageOptimization/OptimizeResources,eda294d5-9358-4542-aecb-2387a092f04c,,Active,Optimize cost,False,False,False,,"[{'name': 'Manage data retention in a Log Analytics workspace', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/logs/data-retention-configure?tabs=portal-3%2Cportal-1%2Cportal-2'}, {'name': 'Workspaces - Update', 'url': 'https://learn.microsoft.com/en-us/rest/api/loganalytics/workspaces/update?view=rest-loganalytics-2023-09-01&tabs=HTTP'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Move Older Logs to Azure Blob Storage,Manual,Low,Microsoft.OperationalInsights/Workspaces,"Use Azure Monitor Data Export to shift historical logs to Azure Blob Storage or Azure Data Explorer, where they can be stored more affordably without losing accessibility.
",UsageOptimization/OptimizeResources,ec2d2a09-dbd8-40f9-9a23-ef86631b3a2b,,Active,Optimize cost,False,False,False,,"[{'name': 'Log Analytics workspace data export in Azure Monitor', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/logs/logs'}]",content/azure-resources/operationalinsights/workspaces/recommendations.yaml,YAML,,,,,,,,,,,,,,
Optimize backup redundancy,Manual,Low,Microsoft.RecoveryServices/vaults,"Choose Locally Redundant Storage (LRS) for non-critical backups and use Geo-Redundant Storage (GRS) only for workloads requiring cross-region failover. Implement Read-Access Geo-Redundant Storage (RA-GRS) for read-only disaster recovery scenarios.
",UsageOptimization/OptimizeResources,07983135-890e-47c4-bb4d-07962beb405d,,Active,Optimize cost,False,False,False,,"[{'name': 'Reliability in Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/reliability/reliability-backup'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Optimize replication settings,Manual,Low,Microsoft.RecoveryServices/vaults,"Enable Cross-Region Replication (CRR) only for critical workloads, and use Zone-Redundant Storage (ZRS) instead of multi-region replication when availability zones are sufficient.
",UsageOptimization/OptimizeResources,2966f57a-8add-446f-9c23-72154696049f,,Active,Optimize cost,False,False,False,,"[{'name': 'Cross Region Restore (CRR) for Azure Virtual Machines using Azure Backup', 'url': 'https://azure.microsoft.com/en-us/blog/cross-region-restore-crr-for-azure-virtual-machines-using-azure-backup/'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Reduce backup storage consumption,Manual,Low,Microsoft.RecoveryServices/vaults,"Use incremental backups instead of full backups to store only changed data blocks.
",UsageOptimization/OptimizeResources,cfac9e44-f215-49db-b54e-4a6990adc868,,Active,Optimize cost,False,False,False,,"[{'name': 'Backup types', 'url': 'https://learn.microsoft.com/en-us/azure/backup/backup-architecture#backup-types'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider using Azure Policy built-in definitions for Azure Backup,Manual,Low,Microsoft.RecoveryServices/vaults,"Configure policies in Azure Backup to apply storage optimization settings automatically across workloads.
",UsageOptimization/OptimizeResources,36e19016-bc70-4e40-8ff6-a3988cbeedbb,,Active,Optimize cost,False,False,False,,"[{'name': 'Azure Policy built-in definitions for Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/backup/policy-reference'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Define data retention policies,Manual,Low,Microsoft.RecoveryServices/vaults,"Set organization-wide retention policies based on compliance, business requirements, and industry regulations (e.g., GDPR, HIPAA). Use **Azure Backup policies** to automate enforcement. 
",UsageOptimization/OptimizeResources,16f95f56-bde4-4554-bd0c-bd7cec2f99be,,Active,Optimize cost,False,False,False,,"[{'name': 'Backup Policy considerations', 'url': 'https://learn.microsoft.com/en-us/azure/backup/guidance-best-practices#backup-policy-considerations'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Enable Soft Delete for Protection,Manual,Low,Microsoft.RecoveryServices/vaults,"Activate Soft Delete in Azure Backup and Blob Storage to protect against accidental deletions while ensuring automatic cleanup after the retention period.
",UsageOptimization/OptimizeResources,071f881c-5f29-438d-84d3-01a94f8de903,,Active,Optimize cost,False,False,False,,"[{'name': 'Soft delete for Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/backup/backup-azure-security-feature-cloud?tabs=azure-portal'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider Immutable vault for Azure Backup,Manual,Low,Microsoft.RecoveryServices/vaults,"For compliance-driven workloads, use Immutable Blob Storage to prevent deletion/modification of critical backup data during the required retention period.
",UsageOptimization/OptimizeResources,b3cb065b-e498-4cd7-bae2-82cd73deec00,,Active,Optimize cost,False,False,False,,"[{'name': 'Immutable vault for Azure Backup', 'url': 'https://learn.microsoft.com/en-us/azure/backup/backup-azure-immutable-vault-concept?tabs=recovery-services-vault'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
